1	61	221
2	4	167
3	23	17
4	16	44
5	20	57
6	2	12
7	41	569
8	10	55
9	46	331
10	26	20
11	21	101
13	22	52
15	1	5
16	6	73
18	25	220
19	2	52
20	61	101
21	2	5
23	20	37
24	1	4
26	41	155
27	5	42
28	46	245
29	141	120
30	1	37
31	3	44
32	4	217
33	3	0
34	2	24
35	5	97
37	1	44
38	57	50
39	19	215
40	5	14
41	12	89
42	2	140
43	60	121
44	3	16
47	1	9
48	5	288
49	11	48
50	3	25
51	57	1163
52	22	116
53	2	91
54	5	30
55	12	204
56	4	23
57	4	74
58	4	49
59	48	302
60	4	15
63	1	90
64	2	75
65	2	38
66	4	141
67	1	32
68	2	21
74	1	2
75	16	157
79	5	74
80	12	173
81	5	13
82	2	148
83	13	34
84	1	5
90	2	9
97	2	90
99	1	8
100	60	512
102	49	57
104	85	192
105	4	5
108	35	259
111	72	317
112	4	30
113	2	12
116	29	118
117	143	356
118	24	191
121	2	39
122	976	858
123	2	151
124	3	20
126	2	6
127	109	167
128	2	141
129	40	132
132	1	0
133	14	44
134	1	4
135	1	1
136	1	63
139	1	2
140	2	16
141	4	42
142	8	86
143	3	89
145	25	86
146	9	21
148	8	66
149	1	26
151	103	184
152	17	231
153	27	265
154	2	73
155	108	267
156	1	10
158	2	10
159	1	9
161	1	18
163	7	39
167	2	0
169	13	11
172	32	73
173	2	29
174	16	86
175	3	16
178	12	58
179	164	203
180	15	152
181	7	59
183	65	470
184	1	3
186	61	277
187	5	50
188	9	51
192	33	133
193	2	119
195	6	21
196	5	26
197	15	176
199	3	10
201	2	11
204	3	33
207	1	19
209	3	28
210	1	4
212	1	21
213	2	21
214	6	66
215	50	142
218	2	121
222	55	262
223	6	83
224	121	252
225	66	483
226	2	248
228	2	13
229	1	1
230	2	51
231	2	51
232	4	28
233	1	2
235	4	6
236	1	6
237	1	32
238	2	19
239	2	11
241	3	13
242	7	25
243	11	4
245	46	52
246	15	8
247	1	33
248	54	88
249	16	40
250	96	127
258	1	2
259	1	41
260	1	5
261	4	38
262	1	16
264	2	10
266	5	53
267	128	104
269	1	2
270	21	53
271	2	41
273	3	10
274	8	45
275	4	34
276	8	81
277	1	1
280	32	107
281	4	49
283	3	11
287	1	24
288	4	5
291	11	25
292	2	4
293	8	29
294	3	9
295	27	63
297	1	1
300	2	2
303	136	245
304	15	91
307	32	24
308	6	9
309	12	12
310	10	35
311	3	27
313	4	34
315	1	6
316	19	31
317	3	7
320	6	9
322	20	103
323	88	26
324	3	29
325	2	103
326	3	13
328	15	45
329	1	41
330	1	5
332	40	87
333	2	1
335	1	4
337	1	19
341	1	13
350	17	36
351	2	5
353	2	9
354	10	188
355	3	15
356	2	3
359	8	117
361	9	27
362	2	24
363	6	18
364	2	10
365	4	46
366	5	6
367	3	15
368	3	29
369	20	106
370	26	307
371	12	129
372	11	44
373	9	48
374	64	141
375	3	19
376	63	115
377	14	10
378	164	118
379	16	89
380	38	84
381	4	502
383	2	25
384	8	22
385	30	633
386	566	203
387	8	183
389	1	37
390	3	23
391	1	12
392	4	46
394	4	55
395	7	72
403	1	0
405	8	13
407	2	8
410	1	9
411	13	112
414	10	13
415	1	29
418	2	13
427	2	11
429	1	6
430	2	4
431	1	6
432	1	39
434	1	33
435	1	15
436	10	7
437	3	37
438	2	5
440	1	0
441	26	113
442	11	139
443	34	364
444	24	43
445	15	56
446	2	18
447	12	16
448	121	60
449	45	87
450	21	123
451	34	198
453	1	21
457	3	0
461	3	7
462	5	43
464	3	18
466	5	27
