326	1	1	5	3798720
445	1	1	5	4422240
1	1	1	5	5650560
2050	2	1	2	175680
1448	2	1	3	273600
2298	2	1	3	393120
1580	2	1	3	730080
1	2	1	5	5484960
2066	3	1	3	69120
2362	3	1	2	102240
1213	3	1	3	544320
1986	3	1	4	594720
486	3	1	5	2193120
284	3	1	4	4098240
1	3	1	5	5440320
780	4	1	5	3021120
817	4	1	5	3209760
685	4	1	5	3286080
21	4	1	5	3536640
1500	4	1	5	3695040
326	4	1	5	4062240
560	4	1	1	5070240
7	4	1	5	5114880
1	4	1	5	5153760
201	5	1	4	2223360
1486	5	1	4	2334240
578	5	1	3	3170880
672	5	1	5	4404960
1	5	1	5	5142240
246	6	1	4	4914720
1	6	1	4	5139360
2362	7	1	4	102240
2349	7	1	4	184320
1383	7	1	5	469440
909	7	1	3	633600
253	7	1	3	911520
1330	7	1	4	1072800
592	7	1	4	2136960
493	7	1	5	4589280
1	7	1	5	5081760
487	8	1	4	2046240
532	8	1	1	3349440
108	8	1	1	3683520
1	8	1	4	4363200
437	8	1	2	4383360
24	8	1	2	4386240
33	8	1	4	4386240
368	8	1	1	4387680
1767	8	1	3	4464000
1239	8	1	3	4593600
1303	9	1	5	1395360
1058	9	1	5	1491840
736	9	1	5	1802880
789	9	1	5	1810080
1764	9	1	5	2079360
1055	9	1	5	2115360
579	9	1	2	2201760
1290	9	1	5	2232000
106	9	1	3	2767680
248	9	1	3	2936160
349	9	1	4	2996640
381	9	1	4	3568320
544	9	1	4	3670560
1827	9	1	5	3683520
1003	9	1	3	3876480
1	9	1	5	4351680
262	9	1	2	4466880
116	9	1	4	4468320
40	9	1	5	4469760
727	9	1	2	5107680
68	9	1	4	5492160
58	9	1	3	5695200
1	10	1	4	3797280
1912	10	1	5	4220640
1627	10	1	3	4919040
40	10	1	5	5136480
1429	11	1	3	89280
2157	11	1	2	290880
817	11	1	5	390240
1	11	1	5	4230720
40	12	1	5	3695040
1	12	1	5	4229280
1222	12	1	5	4337280
490	13	1	5	3745440
52	13	1	5	3854880
1	13	1	5	4167360
1137	13	1	5	4661280
190	13	1	4	4672800
274	13	1	4	4677120
46	13	1	4	4691520
135	13	1	4	4723200
7	13	1	5	4750560
158	13	1	5	4818240
384	13	1	2	4877280
233	13	1	4	5217120
227	13	1	5	5222880
229	13	1	5	5224320
261	13	1	3	5266080
727	13	1	3	5266080
1830	14	1	2	12960
2366	14	1	4	40320
2363	14	1	5	57600
1734	14	1	4	59040
2058	14	1	5	59040
2213	14	1	3	69120
1961	14	1	2	72000
1454	14	1	4	73440
1023	14	1	3	79200
2331	14	1	5	83520
1356	14	1	4	89280
1291	14	1	5	103680
1195	14	1	5	108000
1894	14	1	4	108000
2107	14	1	3	116640
1896	14	1	5	128160
2248	14	1	4	136800
2257	14	1	2	136800
1909	14	1	2	139680
2330	14	1	2	162720
1453	14	1	4	168480
1454	14	1	5	169920
2050	14	1	3	177120
1282	14	1	4	230400
1241	14	1	5	260640
1202	14	1	5	263520
1726	14	1	5	293760
2137	14	1	4	298080
2109	14	1	2	302400
2276	14	1	3	309600
2184	14	1	5	315360
961	14	1	5	341280
1439	14	1	4	342720
2343	14	1	5	355680
1037	14	1	5	368640
2011	14	1	5	381600
1759	14	1	5	384480
1089	14	1	5	391680
2056	14	1	2	391680
1704	14	1	1	394560
2016	14	1	5	394560
2123	14	1	5	394560
2239	14	1	4	394560
2296	14	1	5	394560
1892	14	1	1	396000
1572	14	1	5	398880
1255	14	1	5	400320
2336	14	1	4	400320
1979	14	1	1	401760
1428	14	1	5	406080
2299	14	1	4	407520
1962	14	1	5	411840
2191	14	1	5	411840
1695	14	1	5	424800
2033	14	1	4	424800
2335	14	1	5	429120
201	14	1	5	432000
1212	14	1	2	433440
2034	14	1	5	433440
1209	14	1	4	434880
2289	14	1	5	442080
2220	14	1	5	443520
1400	14	1	1	446400
2008	14	1	1	447840
2035	14	1	1	455040
1662	14	1	5	511200
1090	14	1	5	561600
1385	14	1	5	567360
1975	14	1	5	584640
1682	14	1	5	614880
1469	14	1	4	642240
1756	14	1	5	705600
2092	14	1	5	708480
1345	14	1	5	714240
1667	14	1	5	717120
2329	14	1	4	717120
2186	14	1	5	720000
1123	14	1	5	738720
1110	14	1	5	869760
1760	14	1	5	987840
1311	14	1	4	1267200
1028	14	1	4	1304640
1290	14	1	4	1424160
746	14	1	4	1631520
928	14	1	5	1877760
1021	14	1	2	1923840
613	14	1	5	2363040
815	14	1	3	2532960
468	14	1	5	2846880
548	14	1	4	3087360
789	14	1	5	3104640
119	14	1	4	3620160
40	14	1	5	3700800
485	14	1	3	3732480
1	14	1	5	4089600
265	14	1	4	4433760
447	14	1	3	4749120
564	14	1	5	4926240
501	14	1	3	4965120
190	14	1	4	5352480
2253	15	2	4	267840
1456	15	2	5	289440
1451	15	2	5	298080
1718	15	2	4	370080
431	15	2	5	380160
2243	15	2	5	393120
1258	15	2	5	515520
1700	15	2	5	538560
2029	15	2	5	1359360
717	15	2	5	1401120
509	15	2	5	3274560
373	15	2	5	3535200
1	15	2	4	4062240
2366	16	1	4	41760
2066	16	1	5	48960
1734	16	1	5	57600
2348	16	1	4	77760
2169	16	1	1	80640
1356	16	1	2	89280
1731	16	1	5	92160
1195	16	1	2	108000
2339	16	1	2	108000
1909	16	1	4	132480
1580	16	1	5	194400
2352	16	1	1	254880
2048	16	1	5	259200
1241	16	1	4	267840
1282	16	1	5	270720
1409	16	1	4	272160
1457	16	1	4	286560
1447	16	1	3	293760
623	16	1	5	295200
1212	16	1	5	315360
1439	16	1	3	341280
961	16	1	4	344160
1681	16	1	5	349920
2239	16	1	5	357120
654	16	1	3	367200
1448	16	1	5	380160
1979	16	1	1	384480
1700	16	1	4	385920
1130	16	1	4	398880
2033	16	1	3	411840
431	16	1	4	420480
201	16	1	5	434880
1209	16	1	5	434880
1363	16	1	2	452160
570	16	1	4	470880
1393	16	1	5	479520
1389	16	1	4	515520
1305	16	1	4	554400
2200	16	1	3	568800
842	16	1	4	571680
1397	16	1	5	599040
1761	16	1	4	649440
857	16	1	5	1260000
936	16	1	5	1890720
1021	16	1	4	1956960
2310	16	1	5	2023200
685	16	1	5	3251520
1	16	1	5	4060800
447	16	1	2	4749120
2034	17	1	5	77760
2117	17	1	5	175680
1580	17	1	5	259200
1437	17	1	5	272160
1453	17	1	5	303840
2226	17	1	4	311040
1723	17	1	5	328320
1416	17	1	5	347040
654	17	1	2	354240
1436	17	1	5	354240
1389	17	1	5	514080
909	17	1	5	626400
1090	17	1	4	887040
1	17	1	5	3987360
135	17	1	4	4020480
1418	18	2	3	90720
2251	18	2	2	139680
2130	18	2	4	144000
1395	18	2	4	269280
1202	18	2	5	272160
1705	18	2	4	286560
1723	18	2	4	336960
1759	18	2	4	367200
654	18	2	4	381600
2007	18	2	1	413280
2121	18	2	5	436320
1889	18	2	4	588960
1638	18	2	4	642240
1055	18	2	4	645120
1385	18	2	4	658080
1926	18	2	3	662400
1344	18	2	4	918720
765	18	2	5	1932480
45	18	2	5	3774240
1	18	2	4	3952800
2080	19	1	5	66240
2349	19	1	4	182880
1710	19	1	5	303840
2271	19	1	5	321120
1572	19	1	4	378720
2121	19	1	5	417600
948	19	1	4	1221120
1800	19	1	4	2318400
613	19	1	5	2340000
1140	19	1	4	2541600
203	19	1	5	2835360
1970	19	1	2	2956320
1	19	1	4	3945600
2108	20	1	1	59040
2265	20	1	1	63360
2322	20	1	1	80640
1449	20	1	1	97920
2251	20	1	1	100800
2339	20	1	1	108000
1909	20	1	4	132480
2332	20	1	4	156960
2104	20	1	1	158400
2050	20	1	4	164160
2348	20	1	4	175680
2193	20	1	4	180000
2157	20	1	2	246240
2304	20	1	3	249120
1457	20	1	2	288000
2137	20	1	2	296640
2228	20	1	2	302400
1408	20	1	2	312480
1880	20	1	1	312480
2372	20	1	5	336960
1110	20	1	5	344160
1911	20	1	5	344160
1213	20	1	4	367200
1388	20	1	1	367200
2073	20	1	1	367200
2132	20	1	1	367200
178	20	1	1	372960
1190	20	1	1	375840
1439	20	1	2	377280
817	20	1	3	378720
2101	20	1	4	381600
2009	20	1	2	387360
1428	20	1	5	396000
1678	20	1	4	396000
2056	20	1	4	398880
2336	20	1	2	401760
2140	20	1	2	410400
2121	20	1	5	413280
1550	20	1	4	423360
1420	20	1	5	434880
1291	20	1	3	439200
1737	20	1	2	439200
1689	20	1	5	447840
2026	20	1	2	447840
1905	20	1	4	452160
2057	20	1	5	462240
2338	20	1	5	482400
